Date,DIA,TLT,CASH,DIA_CHOICE,TLT_CHOICE,CASH_CHOICE,DateCopy,B_FREQ,DIA_LEN,DIA_LEX,DIA_NUL,DIA_R,TLT_LEN,TLT_LEX,TLT_NUL,TLT_R,CASH_LEN,CASH_LEX,CASH_NUL,CASH_R,ALL_R,DETREND_ALL_R,I,DETREND_I
2017-11-14,-0.0016193227951180056,0.0067545456762518885,0.0,1.0,0.0,0.0,2017-11-14,both,True,False,1.0,-0.0016193227951180056,False,True,0.0,0.0,False,True,0.0,0.0,-0.0016193227951180056,-0.0044393812672854915,1.3460327643887027,0.8502362387872487
2017-11-15,-0.005633997506470978,0.010862717161960411,0.0,0.0,1.0,0.0,2017-11-15,both,False,True,0.0,-0.005633997506470978,True,False,1.0,0.0,False,True,0.0,0.0,-0.005633997506470978,-0.013100536801908591,1.3384492191505084,0.8390976876507
2017-11-16,0.008370406890024995,-0.008691654952470484,0.0,0.0,1.0,0.0,2017-11-16,both,False,True,0.0,0.008370406890024995,True,False,1.0,-0.0,False,True,0.0,0.0,0.008370406890024995,0.017186461149622412,1.3496525837164344,0.8535188074602468
2017-11-17,-0.004088018809523142,0.007412569111878042,0.0,0.0,1.0,0.0,2017-11-17,both,False,True,0.0,-0.0,True,False,1.0,0.007412569111878042,False,True,0.0,0.0,0.007412569111878042,0.04606599287742319,1.359656976770257,0.8928369987654572
2017-11-20,0.0032566533248681306,-0.00039545174523736293,0.0,0.0,1.0,0.0,2017-11-20,both,False,True,0.0,0.0,True,False,1.0,-0.00039545174523736293,False,True,0.0,0.0,-0.00039545174523736293,-0.003830229687750375,1.359119298045869,0.8894172279864638
2017-11-21,0.006747466756422016,0.0031660883141382268,0.0,0.0,1.0,0.0,2017-11-21,both,False,True,0.0,0.0,True,False,1.0,0.0031660883141382268,False,True,0.0,0.0,0.0031660883141382268,0.018219680501982527,1.3634223897729318,0.9056221257133361
2017-11-22,-0.0023754075422172116,0.0032350704060535307,0.0,0.0,1.0,0.0,2017-11-22,both,False,True,0.0,-0.0,True,False,1.0,0.0032350704060535307,False,True,0.0,0.0,0.0032350704060535307,0.018375676396766405,1.367833157197037,0.9222635448331961
2017-11-24,0.0012753782147194581,-0.0027526387794845064,0.0,0.0,1.0,0.0,2017-11-24,both,False,True,0.0,0.0,True,False,1.0,-0.0027526387794845064,False,True,0.0,0.0,-0.0027526387794845064,-0.017895172407613735,1.3640680066046718,0.905759479693149
2017-11-27,0.0011042769530167362,-0.0014197152015396064,0.0,0.0,1.0,0.0,2017-11-27,both,False,True,0.0,0.0,True,False,1.0,-0.0014197152015396064,False,True,0.0,0.0,-0.0014197152015396064,-0.01003688398545155,1.3621314185197613,0.8966684768767459
2017-11-28,0.011072225216346876,0.0013427484551811197,0.0,1.0,0.0,0.0,2017-11-28,both,True,False,1.0,0.0,False,True,0.0,0.0013427484551811197,False,True,0.0,0.0,0.0013427484551811197,0.006886418835273966,1.3639604183777323,0.9028433115649064
2017-11-29,0.004531013907221437,-0.009859077341911604,0.0,1.0,0.0,0.0,2017-11-29,both,True,False,1.0,0.0,False,True,0.0,-0.009859077341911604,False,True,0.0,0.0,-0.009859077341911604,-0.06175627408955553,1.3505130271216401,0.847087072555982
2017-11-30,0.01428456133703837,-0.003345399622143308,0.0,1.0,0.0,0.0,2017-11-30,both,True,False,1.0,0.01428456133703837,False,True,0.0,-0.0,False,True,0.0,0.0,0.01428456133703837,0.02929544804999762,1.3698045132940286,0.8719028678838704
2017-12-01,-0.0016059114159874266,0.013494555323355195,0.0,1.0,0.0,0.0,2017-12-01,both,True,False,1.0,-0.0016059114159874266,False,True,0.0,0.0,False,True,0.0,0.0,-0.0016059114159874266,-0.004247713891915361,1.3676047285884587,0.8681992739595592
2017-12-04,0.0027223292825300227,0.00047404052639343774,0.0,1.0,0.0,0.0,2017-12-04,both,True,False,1.0,0.0027223292825300227,False,True,0.0,0.0,False,True,0.0,0.0,0.0027223292825300227,0.004787109624128538,1.3713277989880217,0.8723554390595925
2017-12-05,-0.00452485286961779,0.004975868266228423,0.0,1.0,0.0,0.0,2017-12-05,both,True,False,1.0,-0.00452485286961779,False,True,0.0,0.0,False,True,0.0,0.0,-0.00452485286961779,-0.010338306315015311,1.3651227424615842,0.8633367613150247
2017-12-06,-0.0016112853581961017,0.0034582540561689523,0.0,1.0,0.0,0.0,2017-12-06,both,True,False,1.0,-0.0016112853581961017,False,True,0.0,0.0,False,True,0.0,0.0,-0.0016112853581961017,-0.004289579706192592,1.3629231401745152,0.8596334094640777
2017-12-07,0.0030624747663041685,-0.00783217104980094,0.0,1.0,0.0,0.0,2017-12-07,both,True,False,1.0,0.0030624747663041685,False,True,0.0,-0.0,False,True,0.0,0.0,0.0030624747663041685,0.00553078715557076,1.3670970578997117,0.8643878588836411
2017-12-08,0.0051989584869920336,7.904310949680138e-05,0.0,1.0,0.0,0.0,2017-12-08,both,True,False,1.0,0.0051989584869920336,False,True,0.0,0.0,False,True,0.0,0.0,0.0051989584869920336,0.010004018608645415,1.3742045387514212,0.8730352111090002
2017-12-11,0.0022573252560778023,-0.0020525245424188876,0.0,1.0,0.0,0.0,2017-12-11,both,True,False,1.0,0.0022573252560778023,False,True,0.0,-0.0,False,True,0.0,0.0,0.0022573252560778023,0.0038166001661095184,1.3773065653637615,0.8763672374407382
2017-12-12,0.005201743463831843,-0.0003955478372844601,0.0,1.0,0.0,0.0,2017-12-12,both,True,False,1.0,0.005201743463831843,False,True,0.0,-0.0,False,True,0.0,0.0,0.005201743463831843,0.009953451866196783,1.3844709607878352,0.8850901165557165
2017-12-13,0.0035037077058051036,0.007517419691694727,0.0,1.0,0.0,0.0,2017-12-13,both,True,False,1.0,0.0035037077058051036,False,True,0.0,0.0,False,True,0.0,0.0,0.0035037077058051036,0.00638653910100051,1.3893217423616109,0.8907427791930086
2017-12-14,-0.002964040890621078,0.004240866320274428,0.0,1.0,0.0,0.0,2017-12-14,both,True,False,1.0,-0.002964040890621078,False,True,0.0,0.0,False,True,0.0,0.0,-0.002964040890621078,-0.007015623961425188,1.3852037359070222,0.8844936628078357
2017-12-15,0.005065089134546286,0.0037538103516681076,0.0,1.0,0.0,0.0,2017-12-15,both,True,False,1.0,0.005065089134546286,False,True,0.0,0.0,False,True,0.0,0.0,0.005065089134546286,0.00963963323324335,1.3922199162988977,0.8930198573144312
2017-12-18,0.0062537911864770646,-0.009115828489660638,0.0,1.0,0.0,0.0,2017-12-18,both,True,False,1.0,0.0062537911864770646,False,True,0.0,-0.0,False,True,0.0,0.0,0.0062537911864770646,0.012059629227826552,1.4009265689410857,0.9037893456867299
