,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
293,20,3W-FRI-100%,3,2,3,0,0,0.072873191,0.055,0.344775042,0.262761585,0.41062
394,25,3W-FRI-100%,2,3,2,0,0,0.071618969,0.0543,0.343947667,0.256998003,0.24246
308,20,4W-FRI-100%,2,1,3,0,0,0.073458488,0.0554,0.343714593,0.27182711,0.54088
252,20,2W-FRI-100%,2,1,1,0,0,0.070706352,0.0537,0.34000646,0.26208503,0.51516
172,15,3W-FRI-100%,2,1,2,0,0,0.073213221,0.0552,0.339060301,0.288264696,0.29424
306,20,4W-FRI-100%,2,1,1,0,0,0.071268712,0.0541,0.33896446,0.271626872,0.54406
307,20,4W-FRI-100%,2,1,2,0,0,0.071268712,0.0541,0.33896446,0.271626872,0.53912
56,10,3W-FRI-100%,1,1,3,0,0,0.071715355,0.0543,0.338310304,0.276623049,0.25548
277,20,3W-FRI-100%,1,3,2,0,0,0.069066754,0.0527,0.33687159,0.260393938,0.26678
393,25,3W-FRI-100%,2,3,1,0,0,0.068431366,0.0523,0.336349999,0.257344863,0.2719
180,15,3W-FRI-100%,3,1,1,0,0,0.070833588,0.0538,0.33386072,0.290910395,0.35108
